11.45, {'train_loss_epoch_ave': [tensor(723003.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.5, {'train_loss_epoch_ave': [tensor(940916.8750, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.55, {'train_loss_epoch_ave': [tensor(815687.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.6, {'train_loss_epoch_ave': [tensor(393752.6250, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.65, {'train_loss_epoch_ave': [tensor(1052571.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.7, {'train_loss_epoch_ave': [tensor(711911.9375, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.75, {'train_loss_epoch_ave': [tensor(1050377.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.8, {'train_loss_epoch_ave': [tensor(537003.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.85, {'train_loss_epoch_ave': [tensor(826129.2500, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.9, {'train_loss_epoch_ave': [tensor(757601.6875, device='cuda:0')], 'valid_loss_epoch_ave': []}
11.95, {'train_loss_epoch_ave': [tensor(1360509.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.0, {'train_loss_epoch_ave': [tensor(1184975.5000, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.05, {'train_loss_epoch_ave': [tensor(723298.0625, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.1, {'train_loss_epoch_ave': [tensor(1033438.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.15, {'train_loss_epoch_ave': [tensor(837248.8125, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.2, {'train_loss_epoch_ave': [tensor(836250.1875, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.25, {'train_loss_epoch_ave': [tensor(1269121.7500, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.3, {'train_loss_epoch_ave': [tensor(967257.3750, device='cuda:0')], 'valid_loss_epoch_ave': []}
12.35, {'train_loss_epoch_ave': [tensor(1015008.4375, device='cuda:0')], 'valid_loss_epoch_ave': []}
